word,pronunciation,meaning,description_en,example,word_type,collocation,related_words,note,deck_name,deck_tag
spore,/spɔr/,bào tử,"A minute, typically one-celled, reproductive unit capable of giving rise to a new individual without sexual fusion, characteristic of lower plants, fungi, and protozoans.","The resilience of the bacterial spore is remarkable, allowing it to survive extreme conditions of heat, desiccation, and radiation that would be lethal to the vegetative cell.",noun,"the spore, of spore, a spore","propagule, germ cell",,Biology,IELTS 7.5+
sterilize,/ˈstɛrəˌlaɪz/,khử trùng,To make something free from bacteria or other living microorganisms.,"In microbiology, autoclaves are commonly used to sterilize laboratory equipment and media by subjecting them to high-pressure saturated steam at 121 °C.",verb,"to sterilize, and sterilize, filter sterilize","sanitize, disinfect",,Biology,IELTS 7.5+
disrepute,/ˌdɪsrɪˈpjut/,tiếng xấu,The state of being held in low esteem by the public; a loss or lack of good reputation.,"The once-celebrated theory of phrenology, which claimed to determine personality traits from skull measurements, eventually fell into complete disrepute as scientific understanding of the brain advanced.",noun,"into disrepute, in disrepute, the disrepute","disgrace, ignominy",,Sociology,IELTS 7.5+
agonize,/ˈægəˌnaɪz/,làm khổ sở,To undergo great mental anguish through worrying about something or making a difficult decision.,"The constitutional convention delegates would agonize for months over the balance of power between the federal government and the individual states, a debate that continues to shape political discourse.",verb,"to agonize, and agonize, not agonize","wrestle, anguish",,Psychology,IELTS 7.5+
furtively,/ˈfərtɪvli/,lén lút,In a way that attempts to avoid notice or attention; secretively.,"The ethnographer furtively documented the ritualistic behaviors of the isolated tribe, ensuring his presence did not alter their natural social dynamics.",adverb,"and furtively, glanced furtively, looked furtively","stealthily, surreptitiously",,Sociology,IELTS 7.5+
followthrough,/followthrough*/,theo dõi,The continuation of an action or task to its conclusion.,The longitudinal study revealed that the initial therapeutic gains were only sustained in patients who demonstrated consistent followthrough with their prescribed behavioral exercises.,noun,"the followthrough, and followthrough, of followthrough","persistence, completion",,Psychology,IELTS 7.5+
vaporize,/ˈveɪpərˌaɪz/,bốc hơi,"To convert or be converted into a gaseous state, typically by the application of heat.",The extreme temperatures generated during atmospheric reentry can vaporize the outer layers of a spacecraft if it lacks a proper heat shield.,verb,"to vaporize, will vaporize, and vaporize","evaporate, gasify",,Physics,IELTS 7.5+
ascension,/əˈsɛnʃən/,sự thăng thiên,"The act of rising to an important position or a higher level, such as a monarch's succession to the throne.",The emperor's ascension to the throne was meticulously planned by the royal court to ensure a seamless transition of power and prevent political instability.,noun,"the ascension, right ascension, his ascension","rise, accession",,History,IELTS 7.5+
sedate,/sɪˈdeɪt/,nghiêm trang,"Calm, dignified, and unhurried in character or manner.","In contrast to the turbulent political climate of the preceding decade, the early years of the new administration were characterized by a more sedate and deliberative approach to governance.",adjective,"more sedate, a sedate, the sedate","calm, tranquil",,Sociology,IELTS 7.5+
eject,/ɪˈʤɛkt/,đẩy ra,"To force or throw something out, typically in a violent or sudden way.","When a massive star collapses, it can eject its outer layers into space in a cataclysmic supernova explosion, enriching the interstellar medium with heavy elements.",verb,"to eject, and eject, the eject","expel, discharge",,Astronomy,IELTS 7.5+
burglary,/ˈbərgləri/,vụ trộm,"The illegal entry of a building with the intent to commit a crime, especially theft.","Criminological studies often differentiate between residential and commercial burglary, as the motivations and methods of perpetrators can vary significantly between the two.",noun,"of burglary, a burglary, the burglary","breaking and entering, housebreaking",,Criminology,IELTS 7.5+
entrap,/ɪnˈtræp/,bẫy,To catch or trap someone or something in a place or situation from which it is difficult or impossible to escape.,"The porous alginate matrix is specifically engineered to entrap yeast cells, immobilizing them for continuous fermentation processes while allowing nutrients to diffuse freely.",verb,"to entrap, and entrap, can entrap","ensnare, trap",,Biology,IELTS 7.5+
overrate,/ˌoʊvərˈreɪt/,đánh giá quá cao,To have a higher opinion of someone or something than is deserved; to rate or value too highly.,"While influential, some contemporary sociologists argue that the structural functionalism of Talcott Parsons is often overrated, overlooking its inability to adequately account for social change and conflict.",verb,"to overrate, not overrate, you overrate","overestimate, overvalue",,Sociology,IELTS 7.5+
obnoxious,/ɑbˈnɑkʃəs/,đáng ghét,"Extremely unpleasant, especially in a way that is annoying or offensive to people.","In the sociological study of group dynamics, individuals who display consistently obnoxious behavior are often marginalized as a means of preserving social harmony.",adjective,"the obnoxious, an obnoxious, most obnoxious","repugnant, offensive",,Sociology,IELTS 7.5+
radiant,/ˈreɪˌdiənt/,rạng rỡ,"Sending out light or heat; shining or glowing brightly, often associated with a source of energy or great happiness.","The sun's radiant energy is the primary source of power for Earth's climate system, driving atmospheric and oceanic circulation.",adjective,"the radiant, a radiant, of radiant","luminous, beaming",,Physics,IELTS 7.5+
insulin,/ˈɪnsələn/,insulin,A hormone produced in the pancreas by the islets of Langerhans that regulates the amount of glucose in the blood; its deficiency results in a form of diabetes.,"The discovery of insulin by Banting and Best in 1921 revolutionized the treatment of diabetes mellitus, transforming it from a fatal disease into a manageable chronic condition.",noun,"of insulin, the insulin, and insulin","pancreatic hormone, hypoglycemic hormone",,Biology,IELTS 7.5+
bewitch,/bɪˈwɪʧ/,mê hoặc,To cast a spell on and gain control over someone by magic; to enchant and delight someone so much that they can think of nothing else.,"In many indigenous cultures, shamans were believed to possess the power to bewitch malevolent spirits, rendering them harmless through intricate rituals and incantations.",verb,"to bewitch, and bewitch, can bewitch","enchant, captivate",,Anthropology,IELTS 7.5+
airlift,/ˈɛˌrlɪft/,vận tải hàng không,"An operation to transport supplies, troops, or other cargo by aircraft, especially in an emergency or when other routes are unavailable.","The Berlin Airlift of 1948-1949 remains a pivotal event of the Cold War, demonstrating the logistical capacity of Western powers to sustain a major city entirely by air.",noun,"the airlift, berlin airlift, an airlift","air transport, air bridge",,History,IELTS 7.5+
clad,/klæd/,phủ,An adjective meaning clothed or covered with a specified material.,"Archaeological evidence from the excavation site revealed Roman legionaries clad in segmented armor, a design which offered superior flexibility and protection in battle.",adjective,"was clad, and clad, were clad","dressed, attired",,History,IELTS 7.5+
commendable,/kəˈmɛndəbəl/,đáng khen ngợi,Deserving praise and approval; admirable.,"The sociologist's longitudinal study on community resilience demonstrated a commendable dedication to ethnographic detail, capturing nuanced social dynamics over several decades.",adjective,"a commendable, is commendable, with commendable","praiseworthy, laudable",,Sociology,IELTS 7.5+
stealthily,/stealthily*/,lén lút,"In a cautious and surreptitious manner, so as not to be seen or heard.","The snow leopard moved stealthily along the rocky ledge, its mottled coat providing perfect camouflage against the mountainous terrain as it stalked the ibex below.",adverb,"and stealthily, crept stealthily, moved stealthily","surreptitiously, furtively",,Biology,IELTS 7.5+
pilgrimage,/ˈpɪlgrəmɪʤ/,hành hương,"A journey, often long and arduous, to a place of special significance, typically for religious or spiritual reasons, but also for personal or cultural ones.",The medieval pilgrimage to Santiago de Compostela was not merely a religious obligation but also a complex socio-economic phenomenon that fostered cultural exchange across Europe.,noun,"a pilgrimage, the pilgrimage, of pilgrimage","journey, quest",,Religious Studies,IELTS 7.5+
canopy,/ˈkænəpi/,tán cây,"The uppermost layer of branches and leaves in a forest, forming a continuous cover; also, any overhanging cover or shelter.","The dense canopy of the tropical rainforest is home to a vast majority of its biodiversity, with countless species of insects, birds, and mammals living their entire lives without ever touching the ground.",noun,"the canopy, a canopy, forest canopy","overstory, cover",,Biology,IELTS 7.5+
fulcrum,/ˈfʊlkrəm/,điểm tựa,"The point on which a lever rests or is supported and on which it pivots; more broadly, a thing that plays a central or essential role in an activity, event, or situation.","In a first-class lever, the fulcrum is located between the applied force and the load, a classic example being the mechanics of a seesaw.",noun,"the fulcrum, a fulcrum, its fulcrum","pivot, hinge",,Physics,IELTS 7.5+
brigade,/brɪˈgeɪd/,lữ đoàn,"A subdivision of an army, typically consisting of a few battalions and forming part of a division; it can also refer to a group of people with a common characteristic or purpose.","During the Napoleonic Wars, the tactical deployment of a combined-arms brigade, integrating infantry, cavalry, and artillery, was a significant innovation that often determined the outcome of battles.",noun,"the brigade, a brigade, his brigade","unit, contingent",,History,IELTS 7.5+
whence,/wɛns/,từ đâu đến,"An adverb meaning 'from what place, source, or cause'.","The philosopher traced the lineage of the concept back to its Socratic roots, whence it evolved through various schools of thought.",adverb,"from whence, and whence, place whence","from where, from which",,Philosophy,IELTS 7.5+
repulsive,/riˈpəlsɪv/,ghê tởm,Arousing intense distaste or disgust; causing a strong feeling of aversion.,Certain species of insects secrete a repulsive fluid as a defense mechanism to deter predators.,adjective,"the repulsive, and repulsive, a repulsive","revolting, disgusting",,Biology,IELTS 7.5+
gusty,/ˈgəsti/,gió mạnh,"Characterized by or blowing in sudden, strong bursts of wind.","The passage of a cold front is often marked by a sharp drop in temperature, a shift in wind direction, and the onset of gusty, turbulent winds that can pose a hazard.",adjective,"the gusty, a gusty, and gusty","blustery, squally",,Meteorology,IELTS 7.5+
encrypt,/ɪnˈkrɪpt/,mã hóa,"To convert information or data into a code, especially to prevent unauthorized access.","Many open-source projects now incorporate robust libraries to encrypt sensitive user data by default, thereby enhancing privacy and security against unauthorized access.",verb,"to encrypt, can encrypt, and encrypt","encode, cipher",,Computer Science,IELTS 7.5+
runoff,/ˈrəˌnɔf/,dòng chảy,"The flow of water from rain or snowmelt over the land surface, which often carries pollutants; it can also refer to a final, deciding election after a previous one was inconclusive.","Urbanization significantly alters hydrological cycles by increasing impervious surfaces, which in turn accelerates the volume and velocity of surface runoff, leading to a higher risk of flash floods.",noun,"the runoff, surface runoff, of runoff","overland flow, drainage",,Environmental Science,IELTS 7.5+
muse,/mjuz/,nàng thơ,"To be absorbed in thought; to think about something carefully and for a long time, often in a dreamy or distracted way.","In his later years, the renowned physicist would often muse on the philosophical implications of quantum mechanics, questioning the very nature of reality.",verb,"the muse, his muse, to muse","ponder, contemplate",,Philosophy,IELTS 7.5+
gestation,/ʤɛˈsteɪʃən/,mang thai,The process or period of developing inside the womb between conception and birth; it can also refer to the development of an idea or plan over a period of time.,"The gestation period in elephants is the longest among all land mammals, lasting approximately 22 months, which allows for significant fetal brain development before birth.",noun,"of gestation, the gestation, during gestation","pregnancy, incubation",,Biology,IELTS 7.5+
germinate,/ˈʤərməˌneɪt/,nảy mầm,"To begin to grow and put out shoots after a period of dormancy (like a seed, spore, or bud); to come into existence and develop.","For a seed to germinate, it requires a specific combination of water, oxygen, and a suitable temperature range.",verb,"to germinate, not germinate, will germinate","sprout, bud",,Biology,IELTS 7.5+
despot,/ˈdɛspət/,kẻ chuyên quyền,"A ruler or other person who holds absolute power, typically one who exercises it in a cruel or oppressive way.","The historical analysis revealed that the benevolent monarch gradually transformed into a paranoid despot, isolating himself from his advisors and ruling through fear.",noun,"a despot, the despot, benevolent despot","tyrant, dictator",,History,IELTS 7.5+
voracious,/vɔˈreɪʃəs/,tham ăn,Wanting or devouring great quantities of food; having a very eager approach to an activity.,"The voracious appetite of the sea star Pisaster ochraceus makes it a keystone predator, significantly influencing the biodiversity of intertidal communities.",adjective,"a voracious, the voracious, and voracious","insatiable, ravenous",,Biology,IELTS 7.5+
submissive,/səbˈmɪsɪv/,phục tùng,Ready to conform to the authority or will of others; meekly obedient or passive.,"In wolf packs, lower-ranking individuals display submissive postures, such as lowering their bodies and tucking their tails, to appease the dominant alpha pair.",adjective,"and submissive, a submissive, the submissive","compliant, obedient",,Sociology,IELTS 7.5+
enslave,/ɛnsˈleɪv/,làm nô lệ,To make someone a slave; to cause someone to lose their freedom of choice or action.,"Throughout history, victorious empires would often enslave conquered populations, forcing them into labor to fuel their economies and build monumental structures.",verb,"to enslave, and enslave, not enslave","subjugate, subdue",,History,IELTS 7.5+
acoustic,/əˈkustɪk/,âm học,"Relating to sound or the sense of hearing, or to the science of sound.","Acoustic metamaterials are artificially engineered materials designed to control, direct, and manipulate sound waves as they pass through different media.",adjective,"the acoustic, of acoustic, an acoustic","auditory, aural",,Physics,IELTS 7.5+
passover,/ˈpæˌsoʊvər/,lễ vượt qua,"A major Jewish festival that commemorates the liberation of the Israelites from Egyptian slavery, lasting seven or eight days from the 15th day of Nisan.","The narrative of the Exodus, central to the observance of Passover, recounts the liberation of the Israelites from slavery in ancient Egypt and is a foundational element of Jewish identity.",noun,"the passover, of passover, a passover","Pesach, Feast of Unleavened Bread",,Religious Studies,IELTS 7.5+
limelight,/ˈlaɪmˌlaɪt/,ánh đèn sân khấu,The focus of intense public attention and interest.,"The discovery of the new archaeological site thrust the previously unknown historian into the academic limelight, making her a sought-after speaker at international conferences.",noun,"the limelight, political limelight, public limelight","spotlight, public eye",,Theater Arts,IELTS 7.5+
sensuous,/ˈsɛnʃəwəs/,gợi cảm,"Appealing to or gratifying the physical senses, especially in a way that is aesthetically pleasing rather than intellectual.","The Baroque sculptor Bernini was a master of creating sensuous textures in marble, making the cold stone appear as soft and yielding as human flesh.",adjective,"the sensuous, of sensuous, and sensuous","aesthetic, voluptuous",,Art History,IELTS 7.5+
curator,/ˈkjʊrətər/,người phụ trách,"A person in charge of a museum, art gallery, or similar institution, responsible for acquiring, caring for, and developing a collection of artifacts or works of art.","The curator's primary responsibility is to interpret the collection, ensuring that the historical and cultural significance of each artifact is accurately conveyed to the public through meticulously planned exhibitions.",noun,"the curator, a curator, and curator","custodian, keeper",,Art History,IELTS 7.5+
listless,/ˈlɪstləs/,bơ phờ,"Lacking energy, enthusiasm, or spirit; characterized by a lack of interest or effort.","Chronic sleep deprivation can lead to a listless state, impairing cognitive functions and diminishing an individual's capacity for complex problem-solving.",adjective,"and listless, a listless, the listless","lethargic, languid",,Psychology,IELTS 7.5+
assort,/əˈsɔrt/,đủ loại,To sort or distribute things into groups of the same type; to classify.,"According to Mendel's Law of Independent Assortment, alleles for different traits assort independently of one another during the formation of gametes.",verb,"to assort, not assort, and assort","classify, categorize",,Biology,IELTS 7.5+
mistrustful,/mɪˈstrəstfəl/,không tin tưởng,Feeling or showing a lack of trust in someone or something; suspicious or wary.,"Research indicates that children who experience inconsistent caregiving are more likely to develop a mistrustful schema of the world, viewing others as unreliable and potentially threatening.",adjective,"and mistrustful, a mistrustful, was mistrustful","suspicious, wary",,Psychology,IELTS 7.5+
assassinate,/əˈsæsəˌneɪt/,ám sát,"To murder an important or prominent person, such as a political leader or head of state, for political or religious reasons.","The plot to assassinate Archduke Franz Ferdinand was meticulously planned by a clandestine nationalist group, ultimately triggering the cascade of events that led to World War I.",verb,"to assassinate, and assassinate, would assassinate","eliminate, liquidate",,History,IELTS 7.5+
skirmish,/ˈskərmɪʃ/,cuộc giao tranh,"A short, unplanned fight between small groups, especially as part of a larger war or conflict; it can also refer to a minor argument or disagreement.",The initial skirmish between the two forces occurred when the vanguard of the Roman army encountered a small contingent of Parthian horse archers.,noun,"a skirmish, the skirmish, this skirmish","clash, scuffle",,History,IELTS 7.5+
markup,/ˈmɑrˌkəp/,đánh dấu,"A system of symbols and instructions, known as tags, embedded in a text file to control its structure, formatting, or the relationship between its parts.","The documentation for many open-source projects is written in Markdown, a lightweight markup language that allows for easy formatting and conversion to other formats like HTML.",noun,"the markup, hypertext markup, extensible markup","annotation, tagging",,Computer Science,IELTS 7.5+
scornful,/ˈskɔrnfəl/,khinh bỉ,Feeling or expressing contempt or derision; showing that you think someone or something is worthless or despicable.,"The established scientific community was initially scornful of the young researcher's groundbreaking theory, dismissing it as speculative and lacking empirical support.",adjective,"a scornful, the scornful, and scornful","contemptuous, derisive",,Sociology,IELTS 7.5+
conditionally,/kənˈdɪʃənəli/,có điều kiện,In a way that is subject to one or more conditions or requirements being met; not absolute.,"The international treaty was ratified conditionally, with its full enforcement dependent on the signatory nations meeting specific carbon emission reduction targets within the next decade.",adverb,"only conditionally, or conditionally, is conditionally","provisionally, contingently",,Law,IELTS 7.5+
satirical,/səˈtɪrɪkəl/,châm biếm,"Containing or using satire, which is the use of humor, irony, exaggeration, or ridicule to expose and criticize people's stupidity or vices, particularly in the context of contemporary politics and other topical issues.","Jonathan Swift's 'A Modest Proposal' is a quintessential example of satirical writing, employing extreme irony to critique British policy towards the Irish poor during the 18th century.",adjective,"a satirical, the satirical, and satirical","mocking, parodic",,Literature,IELTS 7.5+
exalt,/ɪgˈzɔlt/,nâng cao,To praise someone or something highly; to raise to a higher rank or position of greater power.,The Romantic movement sought to exalt the individual's emotional experience and intuition over the rationalism of the Enlightenment.,verb,"to exalt, and exalt, will exalt","glorify, extol",,History,IELTS 7.5+
scour,/skaʊər/,lùng sục,To search a place or thing very carefully and thoroughly in order to find something.,The team of paleontologists had to scour the desert landscape for months before uncovering the rare fossilized remains of the prehistoric marine reptile.,verb,"to scour, and scour, the scour","comb, ransack",,Archaeology,IELTS 7.5+
leniency,/ˈlinjənsi/,khoan dung,"The quality or state of being more merciful or tolerant than expected, especially in the judgment or punishment of others.",The study examined whether the perceived remorse of a defendant had a significant impact on the leniency of the jury's sentencing recommendation.,noun,"of leniency, the leniency, for leniency","clemency, mercy",,Law,IELTS 7.5+
woefully,/ˈwoʊfəli/,thật đáng tiếc,"In a manner that is extremely bad, inadequate, or regrettable.","Despite significant investment in infrastructure, the region's public transportation system remained woefully inadequate to meet the demands of its rapidly growing population.",adverb,"is woefully, was woefully, are woefully","deplorably, lamentably",,Economics,IELTS 7.5+
telltale,/ˈtɛlˌteɪl/,kể chuyện,Revealing or indicating something that was meant to be secret or is not immediately obvious.,"The distinct layering of sediment in the excavation pit provided telltale evidence of successive periods of human occupation, each with its unique material culture.",adjective,"the telltale, a telltale, for telltale","revealing, indicative",,Archaeology,IELTS 7.5+
sullen,/ˈsələn/,ủ rũ,Bad-tempered and sulky; gloomy and resentfully silent.,"In many literary portrayals of adolescent rebellion, the protagonist adopts a sullen demeanor as a non-verbal expression of dissent against parental authority.",adjective,"a sullen, the sullen, and sullen","morose, gloomy",,Psychology,IELTS 7.5+
splendour,/splendour*/,sự huy hoàng,Great beauty and impressive appearance; magnificence.,"The archaeological excavation revealed the full splendour of the Byzantine mosaics, which had been hidden for centuries.",noun,"the splendour, and splendour, of splendour","magnificence, grandeur",,Art History,IELTS 7.5+
fissure,/ˈfɪʃər/,vết nứt,"A long, narrow opening or line of breakage made by cracking or splitting, especially in rock or earth, or a state of disagreement or discord.",Geological surveys revealed that the fissure eruption was fed by a dike that had propagated laterally for over 45 kilometers from the main magma chamber.,noun,"the fissure, a fissure, orbital fissure","crevice, crack",,Geology,IELTS 7.5+
implode,/ˌɪmˈploʊd/,nổ tung,To collapse or cause to collapse violently inward.,"Under the immense gravitational pressure, the core of the massive star begins to implode, triggering a supernova explosion that scatters its elements across the cosmos.",verb,"to implode, would implode, will implode","collapse inward, cave in",,Physics,IELTS 7.5+
retard,/rɪˈtɑrd/,làm chậm lại,To slow down or delay the development or progress of something.,"The addition of certain chemical agents can significantly retard the rate of crystallization in supersaturated solutions, allowing for the formation of larger, more uniform crystals.",verb,"to retard, or retard, and retard","inhibit, hinder",,Chemistry,IELTS 7.5+
tripe,/traɪp/,lòng bò,"The first or second stomach of a ruminant, such as a cow, used as food; also, informally, something considered worthless or of poor quality; nonsense.","In many traditional culinary systems, what might be considered byproducts, such as tripe, are in fact highly valued for their unique texture and ability to absorb complex flavors from broths and spices.",noun,"of tripe, the tripe, and tripe","offal, nonsense",,Culinary Arts,IELTS 7.5+
famish,/famish*/,đói,To suffer severely or die from extreme hunger.,"Historical accounts detail how entire villages would famish during prolonged sieges, as supply lines were cut off and food reserves depleted.",verb,"to famish, and famish, will famish","starve, perish from hunger",,Sociology,IELTS 7.5+
follicle,/ˈfɑlɪkəl/,nang,"A small sac, cavity, or gland in the body, such as the sheath of cells and connective tissue that surrounds the root of a hair, or the fluid-filled sac in the ovary that contains a developing egg.",The regenerative capacity of the hair follicle is attributed to the presence of multipotent stem cells located in a specific region known as the bulge.,noun,"the follicle, hair follicle, graafian follicle","sac, vesicle",,Biology,IELTS 7.5+
detonator,/ˈdɛtəˌneɪtər/,ngòi nổ,"A device containing a small, sensitive explosive charge that is used to initiate a larger, less sensitive main explosive.","The primary explosive within the detonator is highly sensitive to shock or heat, which, upon initiation, creates a powerful shockwave sufficient to set off the main, less sensitive explosive charge.",noun,"the detonator, a detonator, electric detonator","igniter, blasting cap",,Engineering,IELTS 7.5+
rabies,/ˈreɪbiz/,bệnh dại,"A contagious and fatal viral disease of mammals, transmissible through saliva to humans from the bite of an infected animal, that causes madness and convulsions.","The pathogenesis of rabies involves the virus traveling from the site of the bite along peripheral nerves to the central nervous system, where it causes fatal encephalomyelitis.",noun,"of rabies, the rabies, for rabies","hydrophobia, lyssa",,Medicine,IELTS 7.5+
aground,/əˈgraʊnd/,mắc cạn,With the bottom of a ship resting on the ground of a body of water.,"The ancient Phoenician trading vessel, heavily laden with amphorae, ran aground on a submerged reef during a sudden squall, its wreckage providing invaluable insights into Mediterranean trade routes.",adverb,"ran aground, run aground, running aground","stranded, beached",,Maritime History,IELTS 7.5+
crick,/krɪk/,tiếng kêu,"A small, narrow stream or brook, often a tributary to a larger river.","Ecological surveys often begin by sampling the macroinvertebrate populations within a local crick, as their diversity is a key indicator of water quality and ecosystem health.",noun,"and crick, francis crick, the crick","creek, brook",,Geography,IELTS 7.5+
obtain,/əbˈteɪn/,đạt được,"To get, acquire, or secure something, especially through a deliberate effort or process.","In order to synthesize the new compound, the chemists first had to obtain a highly purified sample of the precursor element from a specialized supplier.",verb,"to obtain, we obtain, can obtain","acquire, procure",,Chemistry,IELTS 7.5+
benefit,/ˈbɛnəfɪt/,lợi ích,"An advantage, profit, or positive outcome gained from something.","The primary benefit of implementing universal basic income, according to its proponents, is the reduction of poverty and the stimulation of local economies through increased consumer spending.",noun,"the benefit, to benefit, a benefit","advantage, gain",,Sociology,IELTS 7.5+
intelligence,/ˌɪnˈtɛləʤəns/,trí thông minh,"The ability to acquire and apply knowledge and skills, including the capacity for logic, reasoning, understanding, self-awareness, learning, emotional knowledge, planning, and problem-solving.","The development of artificial intelligence has challenged traditional notions of what constitutes genuine intelligence, forcing researchers to reconsider the boundaries between human and machine cognition.",noun,"of intelligence, the intelligence, and intelligence","intellect, cognition",,Psychology,IELTS 7.5+
feature,/ˈfiʧər/,tính năng,"A distinctive attribute or aspect of something, such as a product, place, or person.","One of the most prominent features of the canyon is its series of steep, rocky cliffs, which have been shaped by millennia of river erosion.",noun,"a feature, this feature, the feature","characteristic, attribute",,Geography,IELTS 7.5+
appreciate,/əˈpriʃiˌeɪt/,đánh giá,To recognize the full worth of; to understand a situation and its implications completely.,"To fully appreciate the shift from Renaissance to Baroque art, one must consider the profound societal changes instigated by the Counter-Reformation.",verb,"to appreciate, not appreciate, and appreciate","value, cherish",,Art History,IELTS 7.5+
element,/ˈɛləmənt/,yếu tố,"A fundamental part or component of something; in chemistry, a pure substance that cannot be broken down into simpler substances by chemical means.","In chemistry, an element is a pure substance consisting only of atoms that all have the same numbers of protons in their atomic nuclei.",noun,"an element, the element, important element","component, constituent",,Chemistry,IELTS 7.5+
budget,/ˈbəʤɪt/,ngân sách,"An estimate of income and expenditure for a set period of time, serving as a plan for managing financial resources.","The research team was required to submit a detailed budget outlining all anticipated costs, including personnel, equipment, and materials, before their grant proposal could be approved.",noun,"the budget, a budget, and budget","financial plan, allocation",,Economics,IELTS 7.5+
function,/ˈfəŋkʃən/,chức năng,"The special, normal, or proper activity of an organ or part; the purpose for which something is designed or exists.","In cell biology, the primary function of the mitochondrion is to generate large quantities of energy in the form of adenosine triphosphate (ATP).",noun,"a function, the function, to function","role, purpose",,Biology,IELTS 7.5+
satisfy,/ˈsætɪsˌfaɪ/,thỏa mãn,"To meet the expectations, needs, or desires of someone or something; to fulfill a condition, requirement, or standard.","According to Maslow's hierarchy of needs, individuals are motivated to satisfy basic physiological requirements before pursuing higher-level psychological needs like esteem and self-actualization.",verb,"to satisfy, not satisfy, will satisfy","fulfill, meet",,Psychology,IELTS 7.5+
culture,/ˈkəlʧər/,văn hoá,"The customs, arts, social institutions, and achievements of a particular nation, people, or group.","The Sapir-Whorf hypothesis posits that the structure of a language determines a native speaker's perception and categorization of experience, thereby shaping their entire culture.",noun,"the culture, of culture, and culture","civilization, society",,Sociology,IELTS 7.5+
expansion,/ɪkˈspænʧən/,mở rộng,"The action of becoming larger or more extensive in size, volume, quantity, or scope.",The rapid expansion of the railway network in the 19th century was a critical catalyst for industrialization and westward migration.,noun,"the expansion, of expansion, an expansion","growth, enlargement",,Economics,IELTS 7.5+
virtually,/ˈvərʧuəli/,hầu như,"In effect or essence, though not in fact or name; almost or nearly.","Due to the decentralized nature of the blockchain, the ledger is virtually immutable, making it highly resistant to tampering.",adverb,"is virtually, was virtually, are virtually","nearly, almost",,Computer Science,IELTS 7.5+
yield,/jild/,năng suất,(noun) The full amount of an agricultural or industrial product; (verb) to produce or provide a natural product or a result; to give way to demands or pressure.,"Research into genetically modified organisms often focuses on developing crop varieties that can yield more food per acre, thereby addressing global food security challenges.","verb, noun","to yield, the yield, will yield","output, harvest",,Agriculture,IELTS 7.5+
specific,/spɪˈsɪfɪk/,cụ thể,"Clearly defined or identified; relating to a particular and exact thing, rather than something general.","The research focused on the specific gene responsible for regulating cell apoptosis, known as p53, to understand its role in tumor suppression.",adjective,"a specific, the specific, of specific","particular, precise",,Biology,IELTS 7.5+
diverse,/dɪˈvərs/,phong phú,Showing a great deal of variety; very different from each other.,"The university prides itself on its culturally diverse student body, which enriches the academic and social environment for everyone involved.",adjective,"the diverse, of diverse, a diverse","varied, heterogeneous",,Sociology,IELTS 7.5+
justify,/ˈʤəstəˌfaɪ/,biện minh,"To show or prove to be right, reasonable, or necessary.","In his seminal work, the philosopher attempts to justify his epistemological framework by demonstrating its logical consistency and explanatory power.",verb,"to justify, not justify, would justify","substantiate, vindicate",,Philosophy,IELTS 7.5+
vital,/ˈvaɪtəl/,thiết yếu,Absolutely necessary or important; essential for the continuation of life or the success of something.,"The integrity of the mitochondrial membrane is vital for cellular respiration and the production of ATP, the cell's primary energy currency.",adjective,"the vital, a vital, of vital","essential, crucial",,Biology,IELTS 7.5+
abandon,/əˈbændən/,bỏ rơi,"To cease to support or look after; to give up on a course of action, a practice, or a way of thinking completely and permanently.","Faced with overwhelming contradictory evidence, the research team was forced to abandon its initial hypothesis regarding the causes of the social phenomenon.",verb,"to abandon, not abandon, and abandon","relinquish, forsake",,Sociology,IELTS 7.5+
technique,/tɛkˈnik/,kỹ thuật,"A particular way of carrying out a task, especially the execution or performance of an artistic work or a scientific procedure that requires special skill.","The finite element method is a powerful numerical technique for solving complex engineering problems by dividing a large system into smaller, simpler parts called finite elements.",noun,"the technique, this technique, a technique","method, procedure",,Engineering,IELTS 7.5+
relative,/ˈrɛlətɪv/,liên quan đến,Considered in relation or proportion to something else; not absolute or independent.,"According to the theory of special relativity, the measurement of time and space is relative to the observer's frame of reference.",adjective,"the relative, a relative, of relative","comparative, proportional",,Physics,IELTS 7.5+
propose,/prəˈpoʊz/,đề nghị,"To put forward an idea, plan, or theory for consideration or discussion by others.","In his theory of general relativity, Einstein proposed that massive objects cause a distortion in space-time, which is felt as gravity.",verb,"to propose, we propose, not propose","suggest, put forward",,Physics,IELTS 7.5+
factor,/ˈfæktər/,nhân tố,"A circumstance, fact, or influence that contributes to a result or outcome.",Socioeconomic status is often considered the most critical factor in determining an individual's life chances and access to resources.,noun,"a factor, important factor, the factor","element, component",,Sociology,IELTS 7.5+
resource,/ˈrisɔrs/,tài nguyên,"A stock or supply of money, materials, staff, and other assets that can be drawn on by a person or organization in order to function effectively.","The efficient allocation of a scarce resource is a fundamental concept in microeconomics, determining how societies meet unlimited wants with limited means.",noun,"the resource, a resource, human resource","asset, supply",,Economics,IELTS 7.5+
data,/ˈdætə/,dữ liệu,"Facts and statistics collected together for reference or analysis. While technically the plural of 'datum', 'data' is commonly used as a singular mass noun in modern English.","In machine learning, the quality and quantity of training data are paramount, as they directly influence the model's predictive accuracy and generalization capabilities.",noun,"the data, of data, these data","information, facts",,Computer Science,IELTS 7.5+
